,precision,recall,f1-score,support
anger,0.1891891891891892,0.2692307692307692,0.2222222222222222,26.0
anticipation,0.2692307692307692,0.28,0.27450980392156865,50.0
disgust,0.029411764705882353,0.06666666666666667,0.04081632653061224,15.0
fear,0.17857142857142858,0.16666666666666666,0.1724137931034483,30.0
joy,0.323943661971831,0.2875,0.304635761589404,80.0
optimism,0.16326530612244897,0.1702127659574468,0.16666666666666666,47.0
sadness,0.5106382978723404,0.43902439024390244,0.4721311475409836,164.0
accuracy,0.3155339805825243,0.3155339805825243,0.3155339805825243,0.3155339805825243
macro avg,0.23775005966626997,0.23990017982363596,0.2361993887964151,412.0
weighted avg,0.3434767473416356,0.3155339805825243,0.3274796823352568,412.0
