param_model__alpha,param_model__fit_prior,param_preprocess__text__tfidf__ngram_range,param_select__k,mean_train_score,mean_test_score,std_test_score,rank_test_score
0.1,False,"(1, 1)",1500,0.8983946207969906,0.2651150664553938,0.012811086788266599,1
0.1,False,"(1, 2)",1500,0.881554249070802,0.26045523882383337,0.013287934762584636,2
0.5,False,"(1, 1)",1500,0.8270610673401315,0.254924608677008,0.024844396071298545,3
0.1,False,"(1, 2)",1000,0.7801923616241334,0.2490882576400853,0.01606730912469868,4
0.1,False,"(1, 1)",1000,0.7977683367323752,0.2480610391461313,0.008928024737738101,5
0.5,False,"(1, 2)",1500,0.80266917691394,0.2391020233481739,0.013402179331923118,6
0.5,False,"(1, 1)",1000,0.746279990235224,0.23778393353605543,0.019097807602448398,7
1.0,False,"(1, 1)",1500,0.7577104196874609,0.23753335705369608,0.025373261551416268,8
0.5,False,"(1, 2)",1000,0.7228996928484708,0.23496062068081325,0.020293278201487394,9
2.0,False,"(1, 1)",1500,0.7022567797752911,0.22860632876404857,0.01882669317749372,10
1.0,False,"(1, 1)",1000,0.7007731948200637,0.22828614884841839,0.024027691275811443,11
1.0,False,"(1, 2)",1500,0.7384298745267992,0.22690552346906884,0.011223466235707988,12
0.5,False,"(1, 1)",500,0.577581458817425,0.2242361797885839,0.02265171582735253,13
0.1,False,"(1, 1)",500,0.6098986625561486,0.21932989008956247,0.015111367583182133,14
1.0,False,"(1, 2)",1000,0.6807438956134735,0.21878665760470017,0.027006279237683277,15
0.5,False,"(1, 2)",500,0.5651252089953994,0.21765324918231405,0.019133651930769848,16
2.0,False,"(1, 1)",1000,0.6685490508346295,0.21300081097420392,0.02234223560258129,17
2.0,False,"(1, 2)",1500,0.692021492262206,0.21199321544304364,0.019400056615689606,18
0.1,False,"(1, 2)",500,0.6001950142106081,0.2118704069724006,0.019973251724228855,19
1.0,False,"(1, 1)",500,0.5620753795929012,0.21120109579488733,0.02347309811138729,20
2.0,False,"(1, 2)",1000,0.6511928126437153,0.20963834933365785,0.022790131190637702,21
1.0,False,"(1, 2)",500,0.5513769592122362,0.20691216101707485,0.019564344140637683,22
2.0,False,"(1, 1)",500,0.5488276667920262,0.20595795108578385,0.022482842415948615,23
0.1,True,"(1, 1)",1500,0.8809373082010807,0.20281227923500098,0.024002161307001012,24
2.0,False,"(1, 2)",500,0.5380016246102061,0.19723846050541569,0.02110827569131257,25
0.1,True,"(1, 2)",1500,0.8636179899305876,0.19199613592839765,0.018266984836151776,26
0.1,True,"(1, 1)",1000,0.804682603755186,0.18646274452479789,0.02195656404182572,27
0.1,True,"(1, 2)",1000,0.7852807324145159,0.17395792978130245,0.028589079841268104,28
0.1,True,"(1, 1)",500,0.6451697448412064,0.15939373365625104,0.02187302719105028,29
0.5,True,"(1, 1)",1500,0.6577532898755344,0.1580642107153403,0.020774670015226284,30
0.1,True,"(1, 2)",500,0.633974516199524,0.15482806761014295,0.018472636324791552,31
0.5,True,"(1, 2)",1500,0.6263153777037266,0.14598866403085453,0.023476734393149137,32
0.5,True,"(1, 1)",1000,0.6007141310120068,0.14598547465549566,0.018185978439208012,33
0.5,True,"(1, 2)",1000,0.5793313450524595,0.14482762355548887,0.02400816789077975,34
0.5,True,"(1, 1)",500,0.48080475272238027,0.13021037327312715,0.016318114946704633,35
0.5,True,"(1, 2)",500,0.4711076340411191,0.1261289501588418,0.017416587764850347,36
1.0,True,"(1, 1)",1500,0.43150212544006356,0.12316928656620138,0.016488655937638402,37
1.0,True,"(1, 2)",1500,0.3931597704094181,0.12269408362045302,0.016877907996397587,38
1.0,True,"(1, 1)",1000,0.365555717425154,0.12023590118944798,0.018739644104702954,39
1.0,True,"(1, 2)",1000,0.3478718483518703,0.11348827364801442,0.007237787220026402,40
1.0,True,"(1, 1)",500,0.25653755914868515,0.10605906391316991,0.010691104172970846,41
1.0,True,"(1, 2)",500,0.24113086099246162,0.10280352850862642,0.010760563160676926,42
2.0,True,"(1, 1)",1500,0.17839914917679606,0.09973254571460069,0.005412034422779039,43
2.0,True,"(1, 2)",1500,0.1690395931081865,0.09872595906539365,0.006378004761192696,44
2.0,True,"(1, 1)",1000,0.15756184771485912,0.0952046286187483,0.0051470069292944955,45
2.0,True,"(1, 2)",1000,0.1481298862235984,0.09515842926053483,0.0051525142995104915,46
2.0,True,"(1, 1)",500,0.11868130526681955,0.09014549907569389,0.007032476516240849,47
2.0,True,"(1, 2)",500,0.11298509365944272,0.08851291361447988,0.007422631937740771,48
