,precision,recall,f1-score,support
anger,0.15625,0.19230769230769232,0.1724137931034483,26.0
anticipation,0.25925925925925924,0.28,0.2692307692307692,50.0
disgust,0.034482758620689655,0.06666666666666667,0.045454545454545456,15.0
fear,0.17857142857142858,0.16666666666666666,0.1724137931034483,30.0
joy,0.4,0.3,0.34285714285714286,80.0
optimism,0.2571428571428571,0.19148936170212766,0.21951219512195122,47.0
sadness,0.5287356321839081,0.5609756097560976,0.5443786982248521,164.0
accuracy,0.3640776699029126,0.3640776699029126,0.3640776699029126,0.3640776699029126
macro avg,0.259205990825449,0.25115799958560725,0.2523229910137368,412.0
weighted avg,0.3730538960274063,0.3640776699029126,0.3660734955469141,412.0
