param_model__C,param_model__class_weight,param_preprocess__text__tfidf__ngram_range,param_select__k,mean_train_score,mean_test_score,std_test_score,rank_test_score
0.1,balanced,"(1, 1)",1500,0.8573239922325167,0.262339516260755,0.023640896344344454,1
0.5,balanced,"(1, 1)",1500,0.9633482802578566,0.25952569884995336,0.03277004530511448,2
0.5,balanced,"(1, 2)",1500,0.9477386583268501,0.2544366974885784,0.02450449272431247,3
1.0,balanced,"(1, 1)",1500,0.9814546745019548,0.25301104476885594,0.027205774766539605,4
1.0,balanced,"(1, 2)",1500,0.9703569152025915,0.25080398700241363,0.02246404098129228,5
2.0,balanced,"(1, 2)",1500,0.9840806869715004,0.24673749589711197,0.02945666475645937,6
0.1,balanced,"(1, 2)",1500,0.838247784481562,0.2462366630929563,0.018411287118726218,7
2.0,balanced,"(1, 1)",1500,0.9907150254394933,0.24486467997263786,0.02622017396315328,8
1.0,,"(1, 1)",1500,0.9791794010136743,0.229579461134582,0.02617039717052232,9
2.0,,"(1, 1)",1500,0.9920026388909949,0.22849869585188812,0.022837659433353988,10
2.0,,"(1, 2)",1500,0.9829284859418295,0.22049264342995412,0.04052281996977649,11
0.5,,"(1, 1)",1500,0.9423024005803547,0.21983669659815103,0.014580805426812823,12
1.0,,"(1, 2)",1500,0.9646682520809013,0.21719672513042548,0.028459393316028914,13
0.5,,"(1, 2)",1500,0.9237444279373695,0.206181257903792,0.01988916801130177,14
0.1,,"(1, 1)",1500,0.6215289247628684,0.15366775883667258,0.020886568847538405,15
0.1,,"(1, 2)",1500,0.5831552609852642,0.14850869860944832,0.018921802555812117,16
