,precision,recall,f1-score,support
anger,0.1,0.11538461538461539,0.10714285714285714,26.0
anticipation,0.08163265306122448,0.08,0.08080808080808081,50.0
disgust,0.0,0.0,0.0,15.0
fear,0.09090909090909091,0.06666666666666667,0.07692307692307693,30.0
joy,0.2191780821917808,0.2,0.20915032679738563,80.0
optimism,0.14583333333333334,0.14893617021276595,0.14736842105263157,47.0
sadness,0.42696629213483145,0.4634146341463415,0.4444444444444444,164.0
accuracy,0.2621359223300971,0.2621359223300971,0.2621359223300971,0.2621359223300971
macro avg,0.15207420737575156,0.15348601234434134,0.1522624581669252,412.0
weighted avg,0.2519897828457656,0.2621359223300971,0.25650738217467,412.0
