,precision,recall,f1-score,support
anger,0.10526315789473684,0.07692307692307693,0.08888888888888889,26.0
anticipation,0.14285714285714285,0.14,0.1414141414141414,50.0
disgust,0.0,0.0,0.0,15.0
fear,0.07692307692307693,0.06666666666666667,0.07142857142857142,30.0
joy,0.28421052631578947,0.3375,0.30857142857142855,80.0
optimism,0.13333333333333333,0.1276595744680851,0.13043478260869565,47.0
sadness,0.4329268292682927,0.4329268292682927,0.4329268292682927,164.0
accuracy,0.279126213592233,0.279126213592233,0.279126213592233,0.279126213592233
macro avg,0.16793058094176744,0.1688108781894459,0.1676663774542884,412.0
weighted avg,0.2723080105042292,0.279126213592233,0.27509908833252017,412.0
