param_model__n_estimators,param_model__max_depth,param_model__max_features,param_model__class_weight,mean_train_score,mean_test_score,std_test_score,rank_test_score
300,,sqrt,balanced,0.9978746500516709,0.22959907698567766,0.022107260831833057,1
300,40,sqrt,balanced,0.9978746500516709,0.22959907698567766,0.022107260831833057,1
300,20,sqrt,balanced,0.9978746500516709,0.2276758911876795,0.015576890205941996,3
200,,sqrt,balanced,0.997682860998907,0.22336376338085118,0.021468823065288183,4
200,40,sqrt,balanced,0.997682860998907,0.22336376338085118,0.021468823065288183,4
100,,log2,balanced,0.9971082090223105,0.2194660191130573,0.022332588774406355,6
100,40,log2,balanced,0.9971082090223105,0.2194660191130573,0.022332588774406355,6
100,20,sqrt,balanced,0.9968492346896684,0.21902834892037792,0.03320956566996859,8
200,20,sqrt,balanced,0.9977989170013182,0.21829362918639822,0.02002873445514599,9
300,20,log2,balanced,0.9979339669530513,0.21667628375142406,0.02902263427335879,10
200,20,log2,balanced,0.9975401328982721,0.21303497852152814,0.01613430547804945,11
300,,log2,balanced,0.9978819987161257,0.21265202787694149,0.025766343318745,12
300,40,log2,balanced,0.9978819987161257,0.21265202787694149,0.025766343318745,12
100,,sqrt,balanced,0.9967574033825253,0.21174222878339144,0.02445190641796279,14
100,40,sqrt,balanced,0.9967574033825253,0.21174222878339144,0.02445190641796279,14
200,40,log2,balanced,0.9977446018234601,0.20903523242108585,0.022830666884284274,16
200,,log2,balanced,0.9977446018234601,0.20903523242108585,0.022830666884284274,16
100,20,log2,balanced,0.99724130059456,0.2038975252426567,0.01609063864577727,18
100,,log2,,0.999515284437441,0.15536318485687675,0.00913121131122869,19
100,40,log2,,0.999515284437441,0.15536318485687675,0.00913121131122869,19
300,,log2,,0.999515284437441,0.1539692405810366,0.01435126944886032,21
300,40,log2,,0.999515284437441,0.1539692405810366,0.01435126944886032,21
300,20,sqrt,,0.999515284437441,0.15375798044000005,0.015107649530369773,23
200,40,log2,,0.999515284437441,0.1535665938563917,0.01903670665127535,24
200,,log2,,0.999515284437441,0.1535665938563917,0.01903670665127535,24
100,20,log2,,0.999515284437441,0.15301172138045038,0.019844805891670182,26
200,,sqrt,,0.999515284437441,0.15254430337237093,0.013431188755423835,27
200,40,sqrt,,0.999515284437441,0.15254430337237093,0.013431188755423835,27
300,,sqrt,,0.999515284437441,0.151383446771251,0.014255913304457074,29
300,40,sqrt,,0.999515284437441,0.151383446771251,0.014255913304457074,29
100,20,sqrt,,0.999515284437441,0.15118236537670734,0.01179035280353223,31
200,20,sqrt,,0.999515284437441,0.1501484638687942,0.011203594984675885,32
100,,sqrt,,0.999515284437441,0.14928197459076334,0.012550795948345047,33
100,40,sqrt,,0.999515284437441,0.14928197459076334,0.012550795948345047,33
300,20,log2,,0.999515284437441,0.14879276796961696,0.01975439963080257,35
200,20,log2,,0.999515284437441,0.14628671904335228,0.017750642087649853,36
