,precision,recall,f1-score,support
anger,0.13157894736842105,0.19230769230769232,0.15625,26.0
anticipation,0.22388059701492538,0.3,0.2564102564102564,50.0
disgust,0.041666666666666664,0.06666666666666667,0.05128205128205128,15.0
fear,0.16666666666666666,0.2,0.18181818181818182,30.0
joy,0.3815789473684211,0.3625,0.3717948717948718,80.0
optimism,0.18518518518518517,0.2127659574468085,0.19801980198019803,47.0
sadness,0.5470085470085471,0.3902439024390244,0.4555160142348754,164.0
accuracy,0.3155339805825243,0.3155339805825243,0.3155339805825243,0.3155339805825243
macro avg,0.23965222246840473,0.24635488840859887,0.23872731107434783,412.0
weighted avg,0.3620861739924862,0.3155339805825243,0.33218916460064973,412.0
