param_model__C,param_model__class_weight,param_preprocess__text__tfidf__ngram_range,param_select__k,mean_train_score,mean_test_score,std_test_score,rank_test_score
1.0,balanced,"(1, 1)",1500,0.8195200485363621,0.2662348012442274,0.02285827960607047,1
1.0,balanced,"(1, 2)",1500,0.7990486510875415,0.25920038640623694,0.012654354053584567,2
10.0,balanced,"(1, 2)",1500,0.9663911114355651,0.2483540683502364,0.02755969534807035,3
10.0,balanced,"(1, 1)",1500,0.97816619780805,0.2478938377087952,0.020356991772439794,4
10.0,balanced,"(1, 2)",1000,0.9066665971445722,0.24664654714778952,0.025274767533130404,5
1.0,balanced,"(1, 2)",1000,0.7236589097647631,0.2459620274148182,0.021222190118552642,6
1.0,balanced,"(1, 1)",1000,0.7414155587133732,0.24492045251853684,0.019715266121726388,7
10.0,balanced,"(1, 1)",1000,0.9241127826503899,0.24434886335042796,0.01726350002941165,8
10.0,balanced,"(1, 1)",500,0.7742551514554116,0.23857701387414423,0.017870376733244164,9
10.0,balanced,"(1, 2)",500,0.7647988223531352,0.22997706969935217,0.008063748309400372,10
1.0,balanced,"(1, 1)",500,0.6260691594033906,0.2272859003721932,0.013718483690004607,11
10.0,,"(1, 1)",1500,0.9885286404254444,0.22726745796623957,0.016114500724179377,12
1.0,balanced,"(1, 2)",500,0.6112216411708618,0.2219148901443082,0.016220211393214886,13
10.0,,"(1, 2)",1500,0.9773634896587036,0.21279696860187453,0.022188768051987485,14
10.0,,"(1, 1)",1000,0.9317362235074107,0.20183127195464348,0.02319376476222726,15
0.1,balanced,"(1, 1)",1500,0.5257818449958255,0.19956908274962204,0.017564494725382726,16
10.0,,"(1, 2)",1000,0.9182978108168323,0.19600551144600947,0.026843293578507017,17
10.0,,"(1, 1)",500,0.7848991913740159,0.19283475908049041,0.013673920485452061,18
0.1,balanced,"(1, 2)",1500,0.5012941381678869,0.18745307590416235,0.014031788725039563,19
10.0,,"(1, 2)",500,0.7697029318619182,0.18583527756896562,0.014285626591380423,20
0.1,balanced,"(1, 1)",1000,0.4741991173048081,0.1830837786256355,0.009834984575610667,21
0.1,balanced,"(1, 2)",1000,0.45571491839879996,0.17824899273022726,0.006869861996788329,22
0.1,balanced,"(1, 1)",500,0.3955999420564426,0.1651499843153797,0.010419919868643473,23
0.1,balanced,"(1, 2)",500,0.3819936978731084,0.1620743637508047,0.011248590172536158,24
1.0,,"(1, 1)",1500,0.5809560408325096,0.16008256400331128,0.018049528361809234,25
1.0,,"(1, 2)",1500,0.5380050129699928,0.1488512734923461,0.01975953412510075,26
1.0,,"(1, 1)",1000,0.4886129758063024,0.14696574164474152,0.013462987285594875,27
1.0,,"(1, 2)",1000,0.4587548863131056,0.1366469276647571,0.014392042959460786,28
1.0,,"(1, 1)",500,0.3484612528693286,0.1256456961280789,0.013341434055960647,29
1.0,,"(1, 2)",500,0.3168713298694985,0.12281261330115201,0.005139773990203682,30
0.1,,"(1, 2)",1500,0.08234108412989198,0.08118837873313578,0.00021810366185623538,31
0.1,,"(1, 2)",1000,0.08188043779174543,0.08118837873313578,0.00021810366185623538,31
0.1,,"(1, 2)",500,0.08118859669254008,0.08118837873313578,0.00021810366185623538,31
0.1,,"(1, 1)",1500,0.08462233915702382,0.08118837873313578,0.00021810366185623538,31
0.1,,"(1, 1)",1000,0.08280003646147045,0.08118837873313578,0.00021810366185623538,31
0.1,,"(1, 1)",500,0.08165095701758782,0.08118837873313578,0.00021810366185623538,31
