,precision,recall,f1-score,support
anger,0.058823529411764705,0.038461538461538464,0.046511627906976744,26.0
anticipation,0.22580645161290322,0.14,0.1728395061728395,50.0
disgust,0.0,0.0,0.0,15.0
fear,0.1111111111111111,0.06666666666666667,0.08333333333333333,30.0
joy,0.3918918918918919,0.3625,0.37662337662337664,80.0
optimism,0.16666666666666666,0.10638297872340426,0.12987012987012986,47.0
sadness,0.4581497797356828,0.6341463414634146,0.5319693094629157,164.0
accuracy,0.3592233009708738,0.3592233009708738,0.3592233009708738,0.3592233009708738
macro avg,0.20177849006143148,0.19259393218786056,0.19159246905279595,412.0
weighted avg,0.31668523359228407,0.3592233009708738,0.3296796374269606,412.0
