param_model__hidden_layer_sizes,param_model__activation,param_model__alpha,param_model__learning_rate_init,mean_train_score,mean_test_score,std_test_score,rank_test_score
"(100,)",tanh,0.0001,0.01,0.6080272089914182,0.20682378600851306,0.014232940885270301,1
"(100,)",tanh,0.001,0.01,0.6077661788379254,0.20682378600851306,0.014232940885270301,1
"(128, 64)",relu,0.001,0.01,0.6531989175648032,0.19858350461141866,0.019125169243920784,3
"(100,)",relu,0.001,0.01,0.6002831830062453,0.19608845530074268,0.02357230377428695,4
"(100,)",relu,0.0001,0.01,0.6008780948247021,0.19590981471489272,0.023718111608948753,5
"(100,)",tanh,0.0001,0.001,0.42725637577490455,0.18750181576231892,0.027078404907676334,6
"(100,)",tanh,0.001,0.001,0.42709508683863373,0.18750181576231892,0.027078404907676334,6
"(128, 64)",tanh,0.0001,0.01,0.4887692373638604,0.18640076368014613,0.03659970770676822,8
"(128, 64)",tanh,0.001,0.01,0.4887692373638604,0.18640076368014613,0.03659970770676822,8
"(128, 64)",tanh,0.0001,0.001,0.4797890720742872,0.18281409181257818,0.027517282772207927,10
"(128, 64)",tanh,0.001,0.001,0.4797890720742872,0.18281409181257818,0.027517282772207927,10
"(128, 64)",relu,0.0001,0.01,0.6896159065647818,0.18277617530205648,0.017142883694257947,12
"(128, 64)",relu,0.001,0.001,0.5416503942838391,0.17742345822753763,0.02403740246822293,13
"(128, 64)",relu,0.0001,0.001,0.551322398999584,0.17691334073835757,0.02352056865286135,14
"(100,)",relu,0.0001,0.001,0.3932819486058249,0.17324918925520053,0.027721329765301353,15
"(100,)",relu,0.001,0.001,0.3932819486058249,0.17324918925520053,0.027721329765301353,15
